word,frequency,rank
"sikkert",66647,351
"lide",66322,352
"själv",65704,353
"slå",65563,354
"mod",65523,355
"verden",65239,356
"hendes",64963,357
"venner",64937,358
"betyder",64877,359
"fikk",64715,360
"først",64700,361
"prøver",64600,362
"set",64145,363
"utan",64042,364
"hjælpe",63781,365
"synes",63699,366
"fel",63456,367
"hem",63378,368
"disse",63036,369
"greit",63003,370
"hallo",62915,371
"navn",62898,372
"dina",62806,373
"ringer",62585,374
"också",62517,375
"troede",62447,376
"sker",62322,377
"gik",61696,378
"menar",61664,379
"verkligen",61440,380
"bil",61353,381
"ligger",60304,382
"vej",60146,383
"huset",59596,384
"hus",59576,385
"fått",59561,386
"klart",58990,387
"sidste",58985,388
"va",58645,389
"förstår",58121,390
"nye",58039,391
"bror",57683,392
"store",57474,393
"ord",57421,394
"ellers",57179,395
"vidste",57167,396
"gick",57042,397
"gode",56982,398
"helst",56872,399
"derfor",56734,400
"faktisk",56670,401
"faen",56644,402
"sätt",56478,403
"engang",56476,404
"berätta",56138,405
"fanden",56097,406
"tänker",56014,407
"snakker",55996,408
"hen",55945,409
"döda",55872,410
"bor",55828,411
"veta",55797,412
"gamle",55726,413
"bør",55200,414
"giv",55105,415
"arbejde",54904,416
"alene",54719,417
"många",54589,418
"penge",54412,419
"fast",54322,420
"slags",54142,421
"sluta",54039,422
"precis",54003,423
"hører",53961,424
"egen",53944,425
"rundt",53919,426
"aften",53911,427
"hjælp",53809,428
"sitt",53675,429
"ven",53524,430
"inga",53448,431
"andet",53378,432
"enda",53347,433
"dollar",52910,434
"selvfølgelig",52841,435
"giver",52810,436
"hørte",52632,437
"titta",52565,438
"blevet",52558,439
"jeres",52387,440
"give",52347,441
"innan",52293,442
"gillar",51906,443
"bättre",51884,444
"hjälpa",51722,445
"haft",51628,446
"dagen",51288,447
"rett",51264,448
"dø",50938,449
"mann",50924,450
"john",50751,451
"förlåt",50747,452
"just",50731,453
"liker",50690,454
"stå",50677,455
"gång",50664,456
"jobb",50392,457
"orden",50210,458
"taler",50103,459
"ens",50101,460
"hjälp",50018,461
"tok",49999,462
"fyr",49946,463
"tur",49759,464
"sent",49376,465
"händer",49346,466
"galt",49257,467
"saker",49138,468
"stille",49113,469
"sånn",48892,470
"politiet",48724,471
"jack",48691,472
"længe",48517,473
"säg",48454,474
"tycker",48406,475
"inne",48290,476
"fru",48175,477
"begge",48151,478
"minutter",48093,479
"skyld",48019,480
"ring",47928,481
"endnu",47850,482
"allerede",47800,483
"fandt",47575,484
"slut",47412,485
"hørt",47283,486
"bruge",47209,487
"husker",47125,488
"liten",47031,489
"vårt",47028,490
"nødt",46983,491
"måtte",46819,492
"skat",46760,493
"sak",46738,494
"första",46695,495
"dog",46571,496
"langt",46499,497
"död",46486,498
"lever",46379,499
"vite",46370,500
"fire",46293,501
"byen",46268,502
"bedste",46166,503
"venter",46129,504
"mennesker",46095,505
"håll",46090,506
"länge",46067,507
"hör",46019,508
"virker",45737,509
"herfra",45725,510
"rolig",45692,511
"mest",45604,512
"familie",45569,513
"senere",45377,514
"fortælle",45060,515
"bad",45027,516
"ledsen",45014,517
"snälla",45012,518
"finne",44888,519
"finder",44815,520
"vilken",44673,521
"unnskyld",44448,522
"kone",44400,523
"dr",44311,524
"skete",44224,525
"fram",44179,526
"hitta",44127,527
"veldig",44074,528
"stort",43896,529
"klarer",43887,530
"måde",43789,531
"new",43431,532
"grund",43388,533
"behøver",43037,534
"mens",43003,535
"fortfarande",42917,536
"samma",42293,537
"klare",42208,538
"pengar",42196,539
"ur",42131,540
"dør",42058,541
"mannen",41903,542
"føler",41786,543
"uten",41753,544
"kommet",41723,545
"dom",41722,546
"ursäkta",41457,547
"gikk",41311,548
"blod",41292,549
"vist",41268,550
"håller",41126,551
"altså",41089,552
"resten",41062,553
"be",41014,554
"pengene",40945,555
"hjemme",40842,556
"hedder",40673,557
"hand",40643,558
"the",40590,559
"hjelpe",40486,560
"fort",40422,561
"fået",40306,562
"stedet",40162,563
"fri",40162,564
"fortalte",40049,565
"slik",39960,566
"våra",39960,567
"prøve",39933,568
"drar",39929,569
"fantastisk",39867,570
"mindre",39785,571
"borta",39670,572
"ben",39622,573
"hallå",39599,574
"mår",39542,575
"akkurat",39418,576
"hände",39376,577
"låter",39292,578
"vise",39074,579
"sånt",38756,580
"vän",38748,581
"ger",38688,582
"stop",38669,583
"kveld",38618,584
"slår",38515,585
"leder",38504,586
"ti",38455,587
"stanna",38416,588
"ude",38408,589
"perfekt",38155,590
"försöker",37953,591
"bange",37700,592
"nummer",37686,593
"timer",37663,594
"børn",37595,595
"videre",37547,596
"tom",37456,597
"jobbet",37454,598
"kvar",37454,599
"skjer",37423,600
"lenge",37333,601
"väg",37295,602
"næste",37206,603
"side",37165,604
"gammel",37075,605
"kjenner",37041,606
"lade",36973,607
"huske",36925,608
"natt",36869,609
"annan",36800,610
"lang",36735,611
"redan",36702,612
"längre",36671,613
"jävla",36637,614
"søn",36354,615
"vart",36325,616
"pige",36323,617
"gått",36253,618
"gift",36175,619
"farvel",36162,620
"pratar",36076,621
"väldigt",36073,622
"problemer",36052,623
"all",36014,624
"fin",35912,625
"ked",35744,626
"miss",35715,627
"sine",35684,628
"kväll",35285,629
"taget",35248,630
"frem",35072,631
"morgon",35024,632
"plan",35022,633
"sex",34924,634
"gange",34637,635
"ber",34372,636
"fråga",34239,637
"velkommen",34218,638
"vente",34204,639
"hjelp",34189,640
"spise",34173,641
"feil",34147,642
"snill",34106,643
"kort",34066,644
"ringe",34054,645
"sam",34049,646
"lave",34015,647
"lyder",33910,648
"kör",33910,649
"deras",33849,650
"tänkte",33757,651
"idiot",33755,652
"ligesom",33572,653
"namn",33483,654
"bryr",33415,655
"verkar",33381,656
"ihjel",33308,657
"små",33262,658
"fred",33088,659
"siste",33086,660
"sitter",33038,661
"fall",32920,662
"gir",32864,663
"varje",32863,664
"mænd",32777,665
"møde",32770,666
"bästa",32746,667
"natten",32707,668
"dage",32660,669
"leve",32539,670
"redde",32524,671
"först",32414,672
"svært",32310,673
"träffa",32266,674
