word,frequency,rank
"virker",13769,345
"tenk",13736,346
"mens",13699,347
"stedet",13691,348
"møte",13644,349
"stille",13581,350
"ei",13536,351
"dollar",13529,352
"lille",13496,353
"engang",13495,354
"ett",13490,355
"måte",13490,356
"dårlig",13478,357
"hyggelig",13406,358
"sine",13395,359
"hodet",13352,360
"funnet",13313,361
"orden",13273,362
"synes",13260,363
"gode",13160,364
"ganske",13131,365
"par",13130,366
"senere",13043,367
"begynner",13001,368
"galt",12928,369
"ba",12857,370
"prøve",12782,371
"slå",12712,372
"tenker",12692,373
"vanskelig",12677,374
"vise",12608,375
"lkke",12597,376
"ringer",12450,377
"slags",12429,378
"ti",12318,379
"allerede",12313,380
"del",12216,381
"fortell",12196,382
"gått",11917,383
"hvilken",11872,384
"prøvde",11846,385
"pokker",11827,386
"tenke",11826,387
"saken",11810,388
"skyld",11772,389
"klare",11765,390
"gammel",11718,391
"bruke",11673,392
"uansett",11650,393
"slipp",11627,394
"mistet",11602,395
"viktig",11572,396
"spør",11562,397
"sånt",11551,398
"helst",11547,399
"jente",11522,400
"tenkt",11454,401
"spørsmål",11451,402
"mellom",11420,403
"bor",11412,404
"mi",11332,405
"dør",11309,406
"egen",11298,407
"kvinne",11284,408
"ligger",11281,409
"ord",11220,410
"stopp",11218,411
"dro",11200,412
"stemmer",11197,413
"rolig",11194,414
"nytt",11132,415
"ber",11126,416
"fortalte",11026,417
"riktig",11008,418
"all",10990,419
"fin",10957,420
"kommet",10937,421
"stå",10907,422
"lett",10906,423
"timer",10817,424
"vente",10760,425
"redde",10741,426
"spise",10719,427
"høres",10716,428
"treffe",10701,429
"setter",10654,430
"mennesker",10612,431
"jenta",10596,432
"sitter",10580,433
"sønn",10478,434
"legg",10413,435
"slapp",10410,436
"velkommen",10408,437
"spiller",10366,438
"bryr",10364,439
"ringe",10333,440
"syns",10214,441
"skje",10173,442
"kaptein",10150,443
"fyr",10141,444
"mat",10119,445
"sette",10110,446
"john",10094,447
"jobbet",10091,448
"fyren",10073,449
"di",10021,450
"leve",9957,451
"tak",9931,452
"enda",9902,453
"seks",9875,454
"selvsagt",9874,455
"egentlig",9838,456
"bruker",9831,457
"mulig",9787,458
"gutten",9769,459
"finnes",9721,460
"jack",9685,461
"best",9658,462
"lang",9644,463
"problem",9630,464
"full",9597,465
"problemer",9572,466
"ses",9561,467
"videre",9537,468
"navnet",9481,469
"lever",9474,470
"holdt",9438,471
"imot",9435,472
"utenfor",9426,473
"spørre",9418,474
"utrolig",9417,475
"satt",9413,476
"kone",9409,477
"dreper",9396,478
"sent",9371,479
"tom",9354,480
"fins",9323,481
"nede",9248,482
"oppe",9243,483
"ring",9243,484
"kjeft",9207,485
"lar",9197,486
"skjedd",9191,487
"begynte",9175,488
"kona",9158,489
"ringte",9110,490
"hus",9083,491
"hater",9079,492
"mindre",9027,493
"hente",9018,494
"fantastisk",8986,495
"hjelper",8975,496
"new",8945,497
"fremdeles",8920,498
"barna",8897,499
"gutter",8855,500
"jobbe",8843,501
"handler",8832,502
"mest",8831,503
"spille",8789,504
"selvfølgelig",8786,505
"stort",8773,506
"fram",8758,507
"kaller",8747,508
"ro",8745,509
"vennen",8733,510
"glem",8730,511
"rommet",8685,512
"kjøre",8684,513
"tusen",8580,514
"vann",8542,515
"forsiktig",8538,516
"sjanse",8532,517
"skolen",8513,518
"kjører",8507,519
"løp",8468,520
"gal",8456,521
"lover",8449,522
"herr",8430,523
"gangen",8429,524
"resten",8403,525
"side",8391,526
"pass",8378,527
"fred",8364,528
"sønnen",8342,529
"lage",8322,530
"plass",8314,531
"familie",8301,532
"sannheten",8263,533
"ekte",8255,534
"kjent",8254,535
"fri",8226,536
"uke",8207,537
"foran",8138,538
"våpen",8133,539
"fast",8119,540
"an",8098,541
"lite",8096,542
"broren",8074,543
"måneder",8032,544
"landet",7998,545
"snakk",7991,546
"hvert",7949,547
"driver",7943,548
"tur",7913,549
"tidligere",7887,550
"kvinner",7876,551
"the",7831,552
"prøv",7789,553
"bil",7781,554
"valg",7775,555
"legge",7746,556
"bror",7630,557
"føles",7619,558
"vondt",7593,559
"miss",7562,560
"straks",7554,561
"kjøpe",7549,562
"gitt",7538,563
"stund",7524,564
"laget",7483,565
"jøss",7474,566
"rom",7460,567
"pa",7450,568
"tidlig",7437,569
"begynne",7404,570
"fly",7383,571
"mente",7373,572
"telefonen",7350,573
"time",7309,574
"tide",7289,575
