word,frequency,rank
"inne",29164,346
"lika",28862,347
"lägg",28840,348
"hittar",28724,349
"redo",28699,350
"hämta",28582,351
"jobbar",28550,352
"dr",28502,353
"gången",28431,354
"båda",28382,355
"ny",28338,356
"denna",28203,357
"stora",28103,358
"plats",27948,359
"tur",27939,360
"börja",27799,361
"svårt",27768,362
"lugnt",27698,363
"långt",27653,364
"spelar",27562,365
"kvinna",27456,366
"känns",27410,367
"hänt",27251,368
"bil",27178,369
"emot",27170,370
"låta",26928,371
"tillsammans",26908,372
"släpp",26833,373
"hört",26827,374
"huset",26650,375
"senare",26383,376
"bror",26354,377
"ringer",26327,378
"lilla",26317,379
"be",26171,380
"rör",26144,381
"ibland",26069,382
"rädda",26035,383
"heller",26025,384
"fort",26008,385
"glad",26005,386
"gått",25951,387
"mellan",25919,388
"nära",25870,389
"ifrån",25763,390
"hus",25599,391
"vore",25494,392
"igenom",25445,393
"fler",25411,394
"kände",25196,395
"vilka",25180,396
"dotter",24994,397
"bryr",24927,398
"dagar",24807,399
"kille",24591,400
"tänka",24513,401
"bor",24461,402
"fattar",24363,403
"gärna",24340,404
"fanns",24334,405
"ber",24326,406
"började",24232,407
"killen",24124,408
"sitter",24105,409
"slå",24097,410
"tio",23932,411
"trevligt",23891,412
"vilja",23827,413
"gott",23766,414
"spela",23727,415
"bäst",23722,416
"chans",23688,417
"gånger",23640,418
"varandra",23640,419
"timmar",23611,420
"lever",23601,421
"pengarna",23543,422
"handlar",23433,423
"natt",23400,424
"rum",23394,425
"klara",23319,426
"mor",23302,427
"gamla",23233,428
"ord",23209,429
"ihåg",23146,430
"reda",23085,431
"ringa",23070,432
"mannen",23048,433
"ert",22821,434
"dags",22725,435
"bakom",22721,436
"eftersom",22714,437
"gammal",22562,438
"jobbet",22546,439
"dörren",22542,440
"fara",22506,441
"känna",22193,442
"dessa",22174,443
"all",22147,444
"dör",22144,445
"sån",22045,446
"par",22035,447
"bad",22028,448
"hjälper",21938,449
"alls",21920,450
"tyst",21809,451
"egen",21651,452
"kommit",21605,453
"ringde",21498,454
"dagen",21311,455
"klar",20933,456
"galen",20931,457
"stan",20921,458
"leva",20910,459
"syster",20904,460
"oroa",20772,461
"mat",20731,462
"vapen",20698,463
"john",20680,464
"ring",20673,465
"skull",20564,466
"stället",20475,467
"antar",20463,468
"tagit",20360,469
"vadå",20321,470
"sätta",20278,471
"stå",20254,472
"mrs",20180,473
"jaså",20170,474
"berättade",20162,475
"ganska",20110,476
"följer",20046,477
"klockan",20042,478
"tidigare",20014,479
"hittat",19965,480
"följa",19930,481
"räcker",19927,482
"fint",19885,483
"lätt",19827,484
"försöka",19785,485
"jack",19714,486
"lång",19511,487
"lovar",19357,488
"förut",19259,489
"jobba",19140,490
"självklart",19028,491
"skolan",18965,492
"iväg",18962,493
"letar",18899,494
"ikväll",18857,495
"flera",18824,496
"försök",18796,497
"mest",18753,498
"nytt",18657,499
"direkt",18529,500
"kvinnor",18520,501
"månader",18507,502
"utanför",18503,503
"stannar",18456,504
"sanningen",18386,505
"stämmer",18379,506
"lämnade",18334,507
"stort",18190,508
"lär",18177,509
"dödar",18094,510
"stoppa",18078,511
"pratade",18058,512
"talar",18052,513
"ben",18038,514
"new",18026,515
"undan",18012,516
"plan",18004,517
"killar",17998,518
"roligt",17830,519
"flytta",17642,520
"blod",17593,521
"perfekt",17570,522
"lära",17565,523
"vatten",17562,524
"val",17397,525
"skicka",17393,526
"hatar",17389,527
"kallar",17353,528
"föräldrar",17318,529
"flicka",17264,530
"vidare",17262,531
"före",17143,532
"lita",17140,533
"köra",17088,534
"skynda",17085,535
"alltså",16964,536
"uppe",16956,537
"gäller",16948,538
"använda",16900,539
"ont",16846,540
"huvudet",16839,541
"ursäkt",16813,542
"glöm",16796,543
"medan",16737,544
"betala",16732,545
"fin",16715,546
"herr",16684,547
"sent",16588,548
"miss",16578,549
"nere",16530,550
"igår",16523,551
"kapten",16429,552
"kärlek",16397,553
"roll",16397,554
"behövde",16392,555
"imorgon",16342,556
"kalla",16316,557
"arg",16306,558
"lugn",16245,559
"natten",16233,560
"lämnar",16195,561
"viktigt",16191,562
"sidan",16140,563
"tjej",16120,564
"the",16117,565
"fortsätt",16085,566
"vacker",16075,567
"hända",16038,568
"köpa",15963,569
"kompis",15955,570
"inom",15927,571
"idiot",15921,572
"satt",15819,573
"full",15806,574
"jaha",15776,575
"sätter",15754,576
"vissa",15637,577
"drar",15588,578
"tyvärr",15582,579
"nummer",15576,580
"tja",15546,581
"lägga",15466,582
"skriva",15461,583
"sova",15416,584
"förstå",15386,585
"snäll",15383,586
"veckor",15336,587
"visar",15279,588
"saken",15258,589
"snabbt",15176,590
"tyckte",15171,591
"ställe",15111,592
"gifta",15080,593
"mindre",15003,594
"enligt",14960,595
"undrar",14937,596
"tänkt",14912,597
"sida",14890,598
"tittar",14852,599
"resten",14840,600
"konstigt",14822,601
"vecka",14760,602
"ok",14760,603
"typ",14741,604
"hjärta",14735,605
"frågor",14716,606
"misstag",14714,607
"grund",14693,608
"skydda",14679,609
"låg",14650,610
"följ",14647,611
"absolut",14640,612
"förklara",14638,613
"lät",14463,614
"svara",14442,615
"familjen",14440,616
"nå",14393,617
"nånsin",14355,618
"själva",14328,619
"berättar",14312,620
"möjligt",14238,621
"välkommen",14233,622
"varsågod",14193,623
"slår",14178,624
"sköt",14157,625
"goda",14124,626
"lugna",14098,627
"kort",14044,628
"person",14002,629
"hårt",13965,630
"sitta",13945,631
"pojke",13931,632
"höll",13879,633
"otroligt",13832,634
"allihop",13815,635
"fortsätta",13765,636
"tom",13695,637
"skyldig",13693,638
"använder",13691,639
"träffas",13689,640
"sju",13683,641
"toppen",13677,642
"barnen",13669,643
"träffade",13632,644
"exakt",13591,645
"tillräckligt",13589,646
"värre",13565,647
"egentligen",13560,648
"lycka",13538,649
"historia",13532,650
"skrev",13526,651
"stod",13503,652
"fungerar",13478,653
"fixa",13465,654
"jobbat",13399,655
"saknar",13331,656
"större",13299,657
"någonsin",13286,658
"såna",13256,659
"massa",13254,660
"bör",13220,661
"slog",13191,662
"hoppa",13184,663
"senaste",13180,664
"små",13176,665
"kropp",13176,666
"brukar",13143,667
"förrän",13132,668
"bo",13127,669
"trött",13050,670
"grabben",13036,671
"miljoner",13033,672
"sjuk",13024,673
"hämtar",13004,674
"förra",13000,675
"kära",12953,676
"käften",12938,677
"stick",12904,678
"hälsa",12883,679
"hemskt",12859,680
"sägs",12846,681
"aning",12831,682
"gift",12825,683
"frågar",12804,684
"dum",12800,685
"skada",12800,686
"dåligt",12784,687
"frågade",12775,688
"inför",12751,689
"bevis",12741,690
"lägger",12733,691
"kaffe",12717,692
"middag",12706,693
"oj",12686,694
"dess",12661,695
"synd",12643,696
"behöva",12626,697
"skjuta",12613,698
"förbi",12611,699
"charlie",12538,700
"york",12463,701
"order",12460,702
"leta",12459,703
"slutar",12445,704
"någonting",12433,705
"igång",12416,706
"strax",12398,707
"framför",12394,708
"skall",12393,709
"polis",12377,710
"annorlunda",12329,711
"läget",12296,712
"ofta",12291,713
"sam",12268,714
"dricka",12249,715
"tjänst",12233,716
"chefen",12151,717
"jorden",12123,718
"början",12101,719
"la",12097,720
"enkelt",12060,721
"ung",12051,722
"olika",12051,723
"stund",12037,724
"läsa",11989,725
"arbete",11970,726
"resa",11969,727
"david",11930,728
"land",11893,729
"skickade",11891,730
"eget",11858,731
"brukade",11850,732
"riktig",11815,733
"betalar",11758,734
"agent",11746,735
"orolig",11720,736
"mord",11718,737
"söker",11673,738
"frank",11665,739
